name,slug,chains,contract_addresses,kyc_status,kyc_date,audit_status,audit_date,audit_score,verification_tier,renounced,kyc_certificate_urls,audit_report_urls,audit_certificate_urls
Flo,flo,Ethereum,0x8561d6829189db74ea1165b7d2bc633616891695,approved,2025-07-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Flo%20KYC%20Certificate.png,,
Project X,project-x,,0x9adcbba4b79ee5285e891512b44706f41f14cafd,approved,2021-01-01,none,,,kyc-only,no,,,
Coorest,coorest,,0x91f0484f9b65dc5187e414dae5ed37ea7a4b8af4 | 0x776aaca47ee579ff63f6c00a921377eb21359e59,approved,2023-06-01,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Coorest%20KYC%20Certificate.png,,
GameWin,gamewin,,0xddea8024737a0af10fa7e01e059f4ee446a83171,approved,2021-01-01,none,,,kyc-only,no,,,
Asian Pepe,asian-pepe,Ethereum,0x84a3d40ee58a8cc8a109818d3720b59afa67031d,approved,2023-07-01,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Asian%20Pepe%20KYC%20Certificate.png,,
Leonidas Finance,leonidas-finance,,0x945a6869819cdad404dc80647a2085957cb1f28b,approved,2021-01-01,none,,,kyc-only,no,,,
SparkStarter,spark-starter,,factory,none,2025-02-27,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/SparkStarter_ADV_04_05_25.pdf,
Vibe AI,vibeai,Ethereum,0x8e7a9f9817ecf2649c0316b22fea274d522c7b9b,approved,2025-08-11,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/VIBE%20AI%20KYC%20Certificate.png,,
Defi-One,defi-one,Ethereum,0xe57528d817c6bb52fa11a25bf899403a6e312ee9,approved,2023-09-08,completed,2023-09-25,94,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/DeFi%20One%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/DefiOne.VAC_ERC%2020%20Token_10_10_2023.pdf https://github.com/Assure-DeFi/Audits/blob/main/DefiOne.VAC_ERC%2020%20Token_09_12_2023.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Defi-One-VAC_ERC%2020%20Token_10_10_2023.png
Saint Inu,saint-inu,,0x6fc5af63990aa9e5c5543f5cd8ed148bfa6d9d19,approved,2021-01-01,none,,,kyc-only,no,,,
Oracle AI,oracle-ai,,,approved,2023-05-08,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Oracle%20AI%20KYC%20Certificate.png,,
MotionDev,motiondev,Ethereum,,approved,2025-09-15,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/MotionDev%20KYC%20Certificate.png,,
Hash Rush,hash-rush,Ethereum,,approved,2024-06-01,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Hash%20Rush%20KYC%20Certificate.png,,
Obscurium,obscurium,Ethereum,0x2a5a4994997aee570202eb4ccdbb806bbc63fc7e,approved,2025-01-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Obscurium%20KYC%20Certificate.png,,
